,0.04,,,,,
688,0,0.7,0.05,,,
689,0,0.7,0.04,,,
690,0,0.7,0.03,,,
691,1,0.7,0.32,,,
692,1,0.7,0.53,,,
693,1,0.7,0.67,,,
694,1,0.7,0.77,,,
695,1,0.7,0.84,,,
696,1,0.7,0.89,,,
697,1,0.7,0.92,,,
698,1,0.7,0.95,,,
699,1,0.7,0.96,,,
700,1,0.7,0.97,,,
701,0,0.7,0.68,,,
702,0,0.7,0.47,,,
703,0,0.7,0.33,,,
704,0,0.7,0.23,,,
705,0,0.7,0.16,,,
706,0,0.7,0.11,,,
707,0,0.7,0.08,,,
708,0,0.7,0.05,,,
709,0,0.7,0.04,,,
710,0,0.7,0.03,,,
711,1,0.7,0.32,,,
712,1,0.7,0.53,,,
713,1,0.7,0.67,,,
714,1,0.7,0.77,,,
715,1,0.7,0.84,,,
716,1,0.7,0.89,,,
717,1,0.7,0.92,,,
718,1,0.7,0.95,,,
719,1,0.7,0.96,,,
720,1,0.7,0.97,,,
721,0,0.7,0.68,,,
722,0,0.7,0.47,,,
723,0,0.7,0.33,,,
724,0,0.7,0.23,,,
725,0,0.7,0.16,,,
726,0,0.7,0.11,,,
727,0,0.7,0.08,,,
728,0,0.7,0.05,,,
729,0,0.7,0.04,,,
730,0,0.7,0.03,,,
731,1,0.7,0.32,,,
732,1,0.7,0.53,,,
733,1,0.7,0.67,,,
734,1,0.7,0.77,,,
735,1,0.7,0.84,,,
736,1,0.7,0.89,,,
737,1,0.7,0.92,,,
738,1,0.7,0.95,,,
739,1,0.7,0.96,,,
740,1,0.7,0.97,,,
741,0,0.7,0.68,,,
742,0,0.7,0.47,,,
743,0,0.7,0.33,,,
744,0,0.7,0.23,,,
745,0,0.7,0.16,,,
746,0,0.7,0.11,,,
747,0,0.7,0.08,,,
748,0,0.7,0.05,,,
749,0,0.7,0.04,,,
750,0,0.7,0.03,,,
751,1,0.7,0.32,,,
752,1,0.7,0.53,,,
753,1,0.7,0.67,,,
754,1,0.7,0.77,,,
755,1,0.7,0.84,,,
756,1,0.7,0.89,,,
757,1,0.7,0.92,,,
758,1,0.7,0.95,,,
759,1,0.7,0.96,,,
760,1,0.7,0.97,,,
761,0,0.7,0.68,,,
762,0,0.7,0.47,,,
763,0,0.7,0.33,,,
764,0,0.7,0.23,,,
765,0,0.7,0.16,,,
766,0,0.7,0.11,,,
767,0,0.7,0.08,,,
768,0,0.7,0.05,,,
769,0,0.7,0.04,,,
770,0,0.7,0.03,,,
771,1,0.7,0.32,,,
772,1,0.7,0.53,,,
773,1,0.7,0.67,,,
774,1,0.7,0.77,,,
775,1,0.7,0.84,,,
776,1,0.7,0.89,,,
777,1,0.7,0.92,,,
778,1,0.7,0.95,,,
779,1,0.7,0.96,,,
780,1,0.7,0.97,,,
781,0,0.7,0.68,,,
782,0,0.7,0.47,,,
783,0,0.7,0.33,,,
784,0,0.7,0.23,,,
785,0,0.7,0.16,,,
786,0,0.7,0.11,,,
787,0,0.7,0.08,,,
788,0,0.7,0.05,,,
789,0,0.7,0.04,,,
790,0,0.7,0.03,,,
791,1,0.7,0.32,,,
792,1,0.7,0.53,,,
793,1,0.7,0.67,,,
794,1,0.7,0.77,,,
795,1,0.7,0.84,,,
796,1,0.7,0.89,,,
797,1,0.7,0.92,,,
798,1,0.7,0.95,,,
799,1,0.7,0.96,,,
800,1,0.7,0.97,,,
801,0,0.7,0.68,,,
802,0,0.7,0.47,,,
803,0,0.7,0.33,,,
804,0,0.7,0.23,,,
805,0,0.7,0.16,,,
806,0,0.7,0.11,,,
807,0,0.7,0.08,,,
808,0,0.7,0.05,,,
809,0,0.7,0.04,,,
810,0,0.7,0.03,,,
811,1,0.7,0.32,,,
812,1,0.7,0.53,,,
813,1,0.7,0.67,,,
814,1,0.7,0.77,,,
815,1,0.7,0.84,,,
816,1,0.7,0.89,,,
817,1,0.7,0.92,,,
818,1,0.7,0.95,,,
819,1,0.7,0.96,,,
820,1,0.7,0.97,,,
821,0,0.7,0.68,,,
822,0,0.7,0.47,,,
823,0,0.7,0.33,,,
824,0,0.7,0.23,,,
825,0,0.7,0.16,,,
826,0,0.7,0.11,,,
827,0,0.7,0.08,,,
828,0,0.7,0.05,,,
829,0,0.7,0.04,,,
830,0,0.7,0.03,,,
831,1,0.7,0.32,,,
832,1,0.7,0.53,,,
833,1,0.7,0.67,,,
834,1,0.7,0.77,,,
835,1,0.7,0.84,,,
836,1,0.7,0.89,,,
837,1,0.7,0.92,,,
838,1,0.7,0.95,,,
839,1,0.7,0.96,,,
840,1,0.7,0.97,,,
841,0,0.7,0.68,,,
842,0,0.7,0.47,,,
843,0,0.7,0.33,,,
844,0,0.7,0.23,,,
845,0,0.7,0.16,,,
846,0,0.7,0.11,,,
847,0,0.7,0.08,,,
848,0,0.7,0.05,,,
849,0,0.7,0.04,,,
850,0,0.7,0.03,,,
851,1,0.7,0.32,,,
852,1,0.7,0.53,,,
853,1,0.7,0.67,,,
854,1,0.7,0.77,,,
855,1,0.7,0.84,,,
856,1,0.7,0.89,,,
857,1,0.7,0.92,,,
858,1,0.7,0.95,,,
859,1,0.7,0.96,,,
860,1,0.7,0.97,,,
861,0,0.7,0.68,,,
862,0,0.7,0.47,,,
863,0,0.7,0.33,,,
864,0,0.7,0.23,,,
865,0,0.7,0.16,,,
866,0,0.7,0.11,,,
867,0,0.7,0.08,,,
868,0,0.7,0.05,,,
869,0,0.7,0.04,,,
870,0,0.7,0.03,,,
871,1,0.7,0.32,,,
872,1,0.7,0.53,,,
873,1,0.7,0.67,,,
874,1,0.7,0.77,,,
875,1,0.7,0.84,,,
876,1,0.7,0.89,,,
877,1,0.7,0.92,,,
878,1,0.7,0.95,,,
879,1,0.7,0.96,,,
880,1,0.7,0.97,,,
881,0,0.7,0.68,,,
882,0,0.7,0.47,,,
883,0,0.7,0.33,,,
884,0,0.7,0.23,,,
885,0,0.7,0.16,,,
886,0,0.7,0.11,,,
887,0,0.7,0.08,,,
888,0,0.7,0.05,,,
889,0,0.7,0.04,,,
890,0,0.7,0.03,,,
891,1,0.7,0.32,,,
892,1,0.7,0.53,,,
893,1,0.7,0.67,,,
894,1,0.7,0.77,,,
895,1,0.7,0.84,,,
896,1,0.7,0.89,,,
897,1,0.7,0.92,,,
898,1,0.7,0.95,,,
